"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0001995",716.974091361648,-0.00649161936214869,0.118567140833836,-0.05475057690095,0.956337175218742,0.983308402362168
"FBgn0028743",42.1885833055734,0.0187108350495482,0.342269716466085,0.0546669312223602,0.956403815011546,0.983308402362168
"FBgn0027780",556.99342940694,0.00702100823567928,0.128471103103875,0.0546504861097242,0.956416916727218,0.983308402362168
"FBgn0033899",601.245092133853,0.00644851280643884,0.122314199497826,0.0527208846798972,0.957954298596564,0.984764676801059
"FBgn0033558",7.97632634400866,-0.041081561403722,0.782829778623102,-0.0524782813908527,0.958147600424133,NA
"FBgn0034982",1089.71747928663,0.00544100838403243,0.103681711884091,0.0524779952525776,0.95814782841529,0.984764676801059
"FBgn0033810",375.656304466266,0.00807822396263645,0.154082468084693,0.0524279242346778,0.958187724386492,0.984764676801059
"FBgn0038307",402.13155864627,-0.00745107240726112,0.14272065207092,-0.0522073876425297,0.95836344647574,0.984823869501817
"FBgn0037229",55.5343935431381,0.0157943226865592,0.304480678851803,0.051872988283262,0.958629897517169,0.984976270101138
"FBgn0030828",28.6222013115661,0.021516219202106,0.421312644333866,0.0510694836518024,0.959270152767655,0.985354973870014
"FBgn0053017",16.3540847178894,0.0267278115221563,0.524629512416223,0.0509460693491284,0.959368495117796,0.985354973870014
"FBgn0050062",35.076176205733,-0.022354496869065,0.440437719128373,-0.0507551826244686,0.959520603900456,0.985354973870014
"FBgn0039854",27.6785306384129,-0.0207258432974589,0.408747759179482,-0.0507057050026743,0.959560030564535,0.985354973870014
"FBgn0262108",59.548698490908,0.0153575711761784,0.303097089596575,0.050668817693431,0.959589424595255,0.985354973870014
"FBgn0262871",1036.15742762644,0.00558895648220629,0.111020972533871,0.0503414476981021,0.959850295136608,0.985501466816983
"FBgn0036991",187.785263278139,-0.00954244220739822,0.191618208422255,-0.0497992455203957,0.960282367926346,0.985646591879674
"FBgn0000183",3924.56962330613,0.00437399636378894,0.0879669676914754,0.0497231685776616,0.960342993438116,0.985646591879674
"FBgn0033610",18.740165769386,-0.0241095966686018,0.489291226967265,-0.0492745329157818,0.960700514646937,0.985646591879674
"FBgn0038243",1107.17901711796,-0.00539028090582277,0.109455354149725,-0.0492463886092714,0.960722943325423,0.985646591879674
"FBgn0038454",343.728402683861,-0.00731604212978642,0.149074733894572,-0.0490763386836595,0.960858459675839,0.985646591879674
"FBgn0030603",945.687096056775,0.00561094784641393,0.114716505169826,0.0489114259374229,0.960989883180575,0.985646591879674
"FBgn0027508",893.892428956141,-0.00562900877316092,0.115849491397253,-0.0485889813176546,0.961246851228929,0.985646591879674
"FBgn0264481",14.8096335354901,-0.0273757393194306,0.566250474741388,-0.0483456359695476,0.96144078480808,0.985646591879674
"FBgn0034082",21.13798616765,0.0249153448813977,0.515502396967411,0.0483321610684437,0.961451523669821,0.985646591879674
"FBgn0265190",610.800864564211,0.00592801269048936,0.122719216090885,0.0483054967210607,0.961472773919859,0.985646591879674
"FBgn0034606",11.7597219774627,-0.0307855604619378,0.63816492981585,-0.0482407588126494,0.961524367148718,NA
"FBgn0262483",60.770424700168,0.0149205584126852,0.309454930768298,0.0482156105111697,0.961544409268077,0.985646591879674
"FBgn0017545",40985.0305397996,0.012901667224743,0.267876734236739,0.0481627016302991,0.96158657545976,0.985646591879674
